Compound Name	ISTD	Precursor Ion	Product Ion	RT	uniform_RT (uniform start/end times)	start_RT	end_RT
PCe 38:6_PCp 38:5	PCP 36:1 (d9)	792.59	184.07	"5.42, 5.5"	n		
PCe 38:5_PCp 38:4	PCP 36:1 (d9)	794.61	184.07	"5.58, 5.95"	n		
PCe 40:6	PCP 36:1 (d9)	820.62	184.07	5.62	n		
PEp 34:2	PE 33:1 (d7)	700.5276	364.2	5.64	n		
PE 33:1 (d7)	PE 33:1 (d7)	711.48	570.5381	5.51	n		
PE 34:2	PE 33:1 (d7)	716.5225	575.5225	5.4	n		
PEp 36:5	PE 33:1 (d7)	722.51	364.2	5.23	n		
PEp 36:4	PE 33:1 (d7)	724.5276	364.2	5.57	n		
PEp 36:3	PE 33:1 (d7)	726.5276	390.2	5.69	n		
PE 36:4	PE 33:1 (d7)	740.5225	599.5225	5.33	n		
PE 36:3	PE 33:1 (d7)	742.5381	601.5381	5.44	n		
PEp 38:6	PE 33:1 (d7)	748.5276	364.2	5.43	n		
PEp 38:5	PE 33:1 (d7)	750.5432	390.2	5.61	n		
PE 38:6	PE 33:1 (d7)	764.5222	623.5225	5.2	n		
PE 38:5	PE 33:1 (d7)	766.5381	625.5381	5.4	n		
PEp 40:7	PE 33:1 (d7)	774.5432	390.2	5.48	n		
PE 40:7	PE 33:1 (d7)	790.5381	649.5381	5.24	n		
PEp 34:1	PE 33:1 (d7)	702.5432	364.2	6.03	n		
PE 34:1	PE 33:1 (d7)	718.5381	577.5381	5.76	n		
PEp 36:2	PE 33:1 (d7)	728.5589	392.2	6.12	n		
PEp 36:1	PE 33:1 (d7)	730.5745	392.2	6.45	n		
PEP 36:1 (d9)	PEP 36:1 (d9)	739.63	392.2	6.46	n		
PE 36:2	PE 33:1 (d7)	744.5538	603.5538	5.89	n		
PE 36:1	PE 33:1 (d7)	746.5694	605.5694	6.27	n		
PEp 38:4	PE 33:1 (d7)	752.5582	392.2	6.05	n		
PE 38:4	PE 33:1 (d7)	768.5538	627.5538	5.83	n		
PE 38:3	PE 33:1 (d7)	770.55	629.55	6.04	n		
PEp 40:6	PE 33:1 (d7)	776.5589	392.2	5.93	n		
PEp 40:4	PE 33:1 (d7)	780.59	420.2	6.47	n		
PE 40:6	PE 33:1 (d7)	792.5532	651.5538	5.7	n		
PE 40:5	PE 33:1 (d7)	794.5694	653.5694	5.87	n		
Dihydro SM C18:0	SM C18:1 (d9)	733.62	184.07	5.83	n		
SM C19:0	SM C18:1 (d9)	745.63	184.07	5.91	n		
SM C20:0	SM C18:1 (d9)	759.64	184.07	6.12	n		
Dihydro SM C20:0	SM C18:1 (d9)	761.65	184.07	6.28	n		
SM C21:0	SM C18:1 (d9)	773.66	184.07	6.35	n		
SM C22:2	SM C18:1 (d9)	783.64	184.07	5.71	n		
SM C22:1	SM C18:1 (d9)	785.65	184.07	6.18	n		
SM C22:0	SM C18:1 (d9)	787.67	184.07	6.56	n		
SM C23:1a_SM C23:1b	SM C18:1 (d9)	799.68	184.07	"6.31, 6.39"	n		
SM C24:3	SM C18:1 (d9)	809.67	184.07	5.77	n		
SM C24:2	SM C18:1 (d9)	811.68	184.07	6.16	n		
SM C24:1	SM C18:1 (d9)	813.69	184.07	6.5	n		
SM C26:2	SM C18:1 (d9)	839.71	184.07	6.58	n		
PCe 34:0	PCP 36:1 (d9)	748.62	184.07	6.4	n		
PCe 36:2_PCp 36:1	PCP 36:1 (d9)	772.62	184.07	"6.1, 6.37"	n		
PCe 36:1a_PCe 36:1b	PCP 36:1 (d9)	774.62	184.07	"6.35, 6.45"	n		
PCP 36:1 (d9)	PCP 36:1 (d9)	781.68	184.07	6.33	n		
PCe 38:4	PCP 36:1 (d9)	796.62	184.07	6.03	n		
PCe 38:3	PCP 36:1 (d9)	798.64	184.07	6.22	n		
PCe 38:2	PCP 36:1 (d9)	800.65	184.07	6.39	n		
PCe 40:5	PCP 36:1 (d9)	822.61	184.07	6.03	n		
PCe 40:4	PCP 36:1 (d9)	824.62	184.07	6.44	n		
PCe 40:3	PCP 36:1 (d9)	826.64	184.07	6.5	n		
PCe 42:6	PCP 36:1 (d9)	848.64	184.07	6.09	n		
PCe 42:5	PCP 36:1 (d9)	850.64	184.07	6.42	n		
PCe 44:6	PCP 36:1 (d9)	876.65	184.07	6.47	n		
PC 34:0	PC 33:1 (d7)	762.6007	184.07	6.13	n		
PC 36:2	PC 33:1 (d7)	786.6007	184.07	5.78	n		
PC 36:1a_PC 36:1b	PC 33:1 (d7)	788.6164	184.07	"6.17, 6.55"	n		
PC 36:0	PC 33:1 (d7)	790.63	184.07	6.7	n		
PC 38:4	PC 33:1 (d7)	810.6007	184.07	5.72	n		
PC 38:3a_PC 38:3b	PC 33:1 (d7)	812.6007	184.07	"5.95, 6.16"	n		
PC 38:2a_PC 38:2b	PC 33:1 (d7)	814.6007	184.07	"6.23, 6.53"	n		
PC 38:0	PC 33:1 (d7)	818.67	184.07	6.94	n		
PC 40:5a_PC 40:5b	PC 33:1 (d7)	836.5694	184.07	"5.77, 5.95"	n		
PC 40:4a_PC 40:4b	PC 33:1 (d7)	838.57	184.07	"6.08, 6.21"	n		
PC 40:3ab	PC 33:1 (d7)	840.57	184.07	6.58	n		
PC 40:2	PC 33:1 (d7)	842.66	184.07	6.67	n		
PCe 36:0	PCP 36:1 (d9)	776.62	184.07	6.77	n		
PCe 38:1	PCP 36:1 (d9)	802.67	184.07	6.72	n		
PCe 42:4	PCP 36:1 (d9)	852.65	184.07	6.55	n		
PCe 42:3	PCP 36:1 (d9)	854.67	184.07	6.84	n		
PCe 42:2a_PCe 42:2b	PCP 36:1 (d9)	856.68	184.07	"7.16, 7.26"	n		
PCe 44:5	PCP 36:1 (d9)	878.67	184.07	6.79	n		
PCe 44:4	PCP 36:1 (d9)	880.68	184.07	7.19	n		
Dihydro SM C22:0	SM C18:1 (d9)	789.68	184.07	6.7	n		
SM C23:0	SM C18:1 (d9)	801.69	184.07	6.72	n		
SM C24:0	SM C18:1 (d9)	815.7	184.07	6.93	n		
Dihydro SM C24:0	SM C18:1 (d9)	817.72	184.07	7.07	n		
SM C26:1	SM C18:1 (d9)	841.72	184.07	6.93	n		
SM C26:0	SM C18:1 (d9)	843.73	184.07	7.29	n		
