Molecule List Name,Precursor m/z,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,Explicit Retention Time,Explicit Retention Time Window
PEp 38:6,748.5276,[M+H],1,364.2,1,5.43,0.2
PEp 38:5,750.5432,[M+H],1,390.2,1,5.61,0.2
PE 38:6,764.5222,[M+H],1,623.5225,1,5.2,0.2
PE 38:5,766.5381,[M+H],1,625.5381,1,5.4,0.1
PEp 40:7,774.5432,[M+H],1,390.2,1,5.48,0.2
PE 40:7,790.5381,[M+H],1,649.5381,1,5.24,0.2
PEp 34:1,702.5432,[M+H],1,364.2,1,6.03,0.2
PE 34:1,718.5381,[M+H],1,577.5381,1,5.76,0.2
PEp 36:2,728.5589,[M+H],1,392.2,1,6.12,0.2
PEp 36:1,730.5745,[M+H],1,392.2,1,6.45,0.2
PEP 36:1 (d9),739.63,[M+H],1,392.2,1,6.46,0.2
PE 36:2,744.5538,[M+H],1,603.5538,1,5.89,0.2
PE 36:1,746.5694,[M+H],1,605.5694,1,6.27,0.1
PEp 38:4,752.5582,[M+H],1,392.2,1,6.05,0.2
PE 38:4,768.5538,[M+H],1,627.5538,1,5.83,0.2
PE 38:3,770.55,[M+H],1,629.55,1,6.04,0.1
PEp 40:6,776.5589,[M+H],1,392.2,1,5.93,0.2
PEp 40:4,780.59,[M+H],1,420.2,1,6.47,0.2
PE 40:6,792.5532,[M+H],1,651.5538,1,5.7,0.2
PE 40:5,794.5694,[M+H],1,653.5694,1,5.87,0.1
Dihydro SM C18:0,733.62,[M+H],1,184.07,1,5.83,0.1
SM C19:0,745.63,[M+H],1,184.07,1,5.91,0.1
SM C20:0,759.64,[M+H],1,184.07,1,6.12,0.1
Dihydro SM C20:0,761.65,[M+H],1,184.07,1,6.28,0.1
SM C21:0,773.66,[M+H],1,184.07,1,6.35,0.1
SM C22:2,783.64,[M+H],1,184.07,1,5.71,0.1
SM C22:1,785.65,[M+H],1,184.07,1,6.18,0.1
SM C22:0,787.67,[M+H],1,184.07,1,6.56,0.1
SM C23:1a,799.68,[M+H],1,184.07,1,6.31,0.02
SM C24:3,809.67,[M+H],1,184.07,1,5.77,0.1
SM C24:2,811.68,[M+H],1,184.07,1,6.16,0.1
SM C24:1,813.69,[M+H],1,184.07,1,6.5,0.2
SM C26:2,839.71,[M+H],1,184.07,1,6.58,0.1
PCe 34:0,748.62,[M+H],1,184.07,1,6.4,0.1
PCe 36:2,772.62,[M+H],1,184.07,1,6.1,0.1
PCe 36:1a,774.62,[M+H],1,184.07,1,6.35,0.04
PCP 36:1 (d9),781.68,[M+H],1,184.07,1,6.33,0.2
PCe 38:4,796.62,[M+H],1,184.07,1,6.03,0.1
PCe 38:3,798.64,[M+H],1,184.07,1,6.22,0.1
PCe 38:2,800.65,[M+H],1,184.07,1,6.39,0.1
PCe 40:5,822.61,[M+H],1,184.07,1,6.03,0.2
PCe 40:4,824.62,[M+H],1,184.07,1,6.44,0.2
PCe 40:3,826.64,[M+H],1,184.07,1,6.5,0.2
PCe 42:6,848.64,[M+H],1,184.07,1,6.09,0.1
PCe 42:5,850.64,[M+H],1,184.07,1,6.42,0.2
PCe 44:6,876.65,[M+H],1,184.07,1,6.47,0.2
PC 34:0,762.6007,[M+H],1,184.07,1,6.13,0.1
PC 36:2,786.6007,[M+H],1,184.07,1,5.78,0.2
PC 36:1a,788.6164,[M+H],1,184.07,1,6.17,0.1
PC 36:0,790.63,[M+H],1,184.07,1,6.7,0.1
PC 38:4,810.6007,[M+H],1,184.07,1,5.72,0.2
PC 38:3a,812.6007,[M+H],1,184.07,1,5.95,0.1
PC 38:2a,814.6007,[M+H],1,184.07,1,6.23,0.1
PC 38:0,818.67,[M+H],1,184.07,1,6.94,0.1
PC 40:5a,836.5694,[M+H],1,184.07,1,5.77,0.1
PC 40:4a,838.57,[M+H],1,184.07,1,6.08,0.1
PC 40:3ab,840.57,[M+H],1,184.07,1,6.58,0.1
PC 40:2,842.66,[M+H],1,184.07,1,6.67,0.05
PCe 36:0,776.62,[M+H],1,184.07,1,6.77,0.1
PCe 38:1,802.67,[M+H],1,184.07,1,6.72,0.2
PCe 42:4,852.65,[M+H],1,184.07,1,6.55,0.1
PCe 42:3,854.67,[M+H],1,184.07,1,6.84,0.2
PCe 42:2a,856.68,[M+H],1,184.07,1,7.16,0.05
PCe 44:5,878.67,[M+H],1,184.07,1,6.79,0.2
PCe 44:4,880.68,[M+H],1,184.07,1,7.19,0.1
Dihydro SM C22:0,789.68,[M+H],1,184.07,1,6.7,0.08
SM C23:0,801.69,[M+H],1,184.07,1,6.72,0.2
SM C24:0,815.7,[M+H],1,184.07,1,6.93,0.2
Dihydro SM C24:0,817.72,[M+H],1,184.07,1,7.07,0.08
SM C26:1,841.72,[M+H],1,184.07,1,6.93,0.2
SM C26:0,843.73,[M+H],1,184.07,1,7.29,0.2
