transition_group_id	transition_name	PrecursorMz	ProductMz	RetentionTime	RT_tol	LibraryIntensity	NormalizedRetentionTime
93	PEp 38:6	748.5276	364.2	5.43	0.2	1000	5.43
94	PEp 38:5	750.5432	390.2	5.61	0.2	1000	5.61
95	PE 38:6	764.5222	623.5225	5.2	0.2	1000	5.2
96	PE 38:5	766.5381	625.5381	5.4	0.1	1000	5.4
97	PEp 40:7	774.5432	390.2	5.48	0.2	1000	5.48
98	PE 40:7	790.5381	649.5381	5.24	0.2	1000	5.24
99	PEp 34:1	702.5432	364.2	6.03	0.2	1000	6.03
100	PE 34:1	718.5381	577.5381	5.76	0.2	1000	5.76
101	PEp 36:2	728.5589	392.2	6.12	0.2	1000	6.12
102	PEp 36:1	730.5745	392.2	6.45	0.2	1000	6.45
103	PEP 36:1 (d9)	739.63	392.2	6.46	0.2	1000	6.46
104	PE 36:2	744.5538	603.5538	5.89	0.2	1000	5.89
105	PE 36:1	746.5694	605.5694	6.27	0.1	1000	6.27
106	PEp 38:4	752.5582	392.2	6.05	0.2	1000	6.05
107	PE 38:4	768.5538	627.5538	5.83	0.2	1000	5.83
108	PE 38:3	770.55	629.55	6.04	0.1	1000	6.04
109	PEp 40:6	776.5589	392.2	5.93	0.2	1000	5.93
110	PEp 40:4	780.59	420.2	6.47	0.2	1000	6.47
111	PE 40:6	792.5532	651.5538	5.7	0.2	1000	5.7
112	PE 40:5	794.5694	653.5694	5.87	0.1	1000	5.87
113	Dihydro SM C18:0	733.62	184.07	5.83	0.1	1000	5.83
114	SM C19:0	745.63	184.07	5.91	0.1	1000	5.91
115	SM C20:0	759.64	184.07	6.12	0.1	1000	6.12
116	Dihydro SM C20:0	761.65	184.07	6.28	0.1	1000	6.28
117	SM C21:0	773.66	184.07	6.35	0.1	1000	6.35
118	SM C22:2	783.64	184.07	5.71	0.1	1000	5.71
119	SM C22:1	785.65	184.07	6.18	0.1	1000	6.18
120	SM C22:0	787.67	184.07	6.56	0.1	1000	6.56
121	SM C23:1a	799.68	184.07	6.31	0.02	1000	6.31
122	SM C24:3	809.67	184.07	5.77	0.1	1000	5.77
123	SM C24:2	811.68	184.07	6.16	0.1	1000	6.16
124	SM C24:1	813.69	184.07	6.5	0.2	1000	6.5
125	SM C26:2	839.71	184.07	6.58	0.1	1000	6.58
126	PCe 34:0	748.62	184.07	6.4	0.1	1000	6.4
127	PCe 36:2	772.62	184.07	6.1	0.1	1000	6.1
128	PCe 36:1a	774.62	184.07	6.35	0.04	1000	6.35
129	PCP 36:1 (d9)	781.68	184.07	6.33	0.2	1000	6.33
130	PCe 38:4	796.62	184.07	6.03	0.1	1000	6.03
131	PCe 38:3	798.64	184.07	6.22	0.1	1000	6.22
132	PCe 38:2	800.65	184.07	6.39	0.1	1000	6.39
133	PCe 40:5	822.61	184.07	6.03	0.2	1000	6.03
134	PCe 40:4	824.62	184.07	6.44	0.2	1000	6.44
135	PCe 40:3	826.64	184.07	6.5	0.2	1000	6.5
136	PCe 42:6	848.64	184.07	6.09	0.1	1000	6.09
137	PCe 42:5	850.64	184.07	6.42	0.2	1000	6.42
138	PCe 44:6	876.65	184.07	6.47	0.2	1000	6.47
139	PC 34:0	762.6007	184.07	6.13	0.1	1000	6.13
140	PC 36:2	786.6007	184.07	5.78	0.2	1000	5.78
141	PC 36:1a	788.6164	184.07	6.17	0.1	1000	6.17
142	PC 36:0	790.63	184.07	6.7	0.1	1000	6.7
143	PC 38:4	810.6007	184.07	5.72	0.2	1000	5.72
144	PC 38:3a	812.6007	184.07	5.95	0.1	1000	5.95
145	PC 38:2a	814.6007	184.07	6.23	0.1	1000	6.23
146	PC 38:0	818.67	184.07	6.94	0.1	1000	6.94
147	PC 40:5a	836.5694	184.07	5.77	0.1	1000	5.77
148	PC 40:4a	838.57	184.07	6.08	0.1	1000	6.08
149	PC 40:3ab	840.57	184.07	6.58	0.1	1000	6.58
150	PC 40:2	842.66	184.07	6.67	0.05	1000	6.67
151	PCe 36:0	776.62	184.07	6.77	0.1	1000	6.77
152	PCe 38:1	802.67	184.07	6.72	0.2	1000	6.72
153	PCe 42:4	852.65	184.07	6.55	0.1	1000	6.55
154	PCe 42:3	854.67	184.07	6.84	0.2	1000	6.84
155	PCe 42:2a	856.68	184.07	7.16	0.05	1000	7.16
156	PCe 44:5	878.67	184.07	6.79	0.2	1000	6.79
157	PCe 44:4	880.68	184.07	7.19	0.1	1000	7.19
158	Dihydro SM C22:0	789.68	184.07	6.7	0.08	1000	6.7
159	SM C23:0	801.69	184.07	6.72	0.2	1000	6.72
160	SM C24:0	815.7	184.07	6.93	0.2	1000	6.93
161	Dihydro SM C24:0	817.72	184.07	7.07	0.08	1000	7.07
162	SM C26:1	841.72	184.07	6.93	0.2	1000	6.93
163	SM C26:0	843.73	184.07	7.29	0.2	1000	7.29
