Compound	Function ID	Precursor	Product	RT(min)	Ratio(%)
PCe 36:1a	1	774.62	184.07	6.35	100
PCP 36:1 (d9)	1	781.68	184.07	6.33	100
PCe 38:4	1	796.62	184.07	6.03	100
PCe 38:3	1	798.64	184.07	6.22	100
PCe 38:2	1	800.65	184.07	6.39	100
PCe 40:5	1	822.61	184.07	6.03	100
PCe 40:4	1	824.62	184.07	6.44	100
PCe 40:3	1	826.64	184.07	6.5	100
PCe 42:6	1	848.64	184.07	6.09	100
PCe 42:5	1	850.64	184.07	6.42	100
PCe 44:6	1	876.65	184.07	6.47	100
PC 34:0	1	762.6007	184.07	6.13	100
PC 36:2	1	786.6007	184.07	5.78	100
PC 36:1a	1	788.6164	184.07	6.17	100
PC 36:0	1	790.63	184.07	6.7	100
PC 38:4	1	810.6007	184.07	5.72	100
PC 38:3a	1	812.6007	184.07	5.95	100
PC 38:2a	1	814.6007	184.07	6.23	100
PC 38:0	1	818.67	184.07	6.94	100
PC 40:5a	1	836.5694	184.07	5.77	100
PC 40:4a	1	838.57	184.07	6.08	100
PC 40:3ab	1	840.57	184.07	6.58	100
PC 40:2	1	842.66	184.07	6.67	100
PCe 36:0	1	776.62	184.07	6.77	100
PCe 38:1	1	802.67	184.07	6.72	100
PCe 42:4	1	852.65	184.07	6.55	100
PCe 42:3	1	854.67	184.07	6.84	100
PCe 42:2a	1	856.68	184.07	7.16	100
PCe 44:5	1	878.67	184.07	6.79	100
PCe 44:4	1	880.68	184.07	7.19	100
Dihydro SM C22:0	1	789.68	184.07	6.7	100
SM C23:0	1	801.69	184.07	6.72	100
SM C24:0	1	815.7	184.07	6.93	100
Dihydro SM C24:0	1	817.72	184.07	7.07	100
SM C26:1	1	841.72	184.07	6.93	100
SM C26:0	1	843.73	184.07	7.29	100
